Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,19,2017-01-31,22-341,TOR,,NOP,W (+2),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
50,,2017-02-01,22-342,TOR,@,BOS,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,20,2017-02-03,22-344,TOR,@,ORL,L (-8),0,22:49,5,12,0.417,2,4,0.5,3,3,1,1,2,3,3,1,0,2,2,15,10.2,6
52,21,2017-02-05,22-346,TOR,@,BRK,W (+8),0,20:27,2,10,0.2,0,3,0,6,6,1,0,3,3,4,0,0,1,1,10,6.1,-4
53,,2017-02-06,22-347,TOR,,LAC,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
54,,2017-02-08,22-349,TOR,@,MIN,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,,2017-02-12,22-353,TOR,,DET,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
56,,2017-02-14,22-355,TOR,@,CHI,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,,2017-02-15,22-356,TOR,,CHO,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
58,,2017-02-24,22-365,TOR,,BOS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
59,,2017-02-26,23-001,TOR,,POR,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
60,22,2017-02-27,23-002,TOR,@,NYK,W (+1),0,7:52,1,2,0.5,0,0,,0,0,,0,3,3,0,0,0,0,0,2,1.9,6
61,23,2017-03-01,23-004,TOR,,WAS,L (-9),0,4:49,1,3,0.333,1,1,1,0,0,,0,0,0,0,0,0,1,2,3,-0.5,-8
62,,2017-03-03,23-006,TOR,@,WAS,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
63,24,2017-03-04,23-007,TOR,@,MIL,L (-7),0,8:17,2,3,0.667,0,0,,2,2,1,0,2,2,2,1,0,1,1,6,6.3,5
64,25,2017-03-08,23-011,TOR,@,NOP,W (+7),0,4:01,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-4
65,,2017-03-10,23-013,TOR,@,ATL,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
66,26,2017-03-11,23-014,TOR,@,MIA,L (-15),0,20:02,1,10,0.1,0,3,0,3,3,1,1,3,4,1,0,0,2,2,5,-2.1,1
67,27,2017-03-13,23-016,TOR,,DAL,W (+22),0,22:09,2,6,0.333,1,1,1,0,0,,0,2,2,2,1,0,2,4,5,1,9
68,28,2017-03-16,23-019,TOR,,OKC,L (-21),0,12:03,2,4,0.5,1,1,1,0,0,,0,1,1,2,2,1,1,0,5,6.4,6
69,29,2017-03-17,23-020,TOR,@,DET,W (+12),0,6:13,0,2,0,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-1.1,-5
70,30,2017-03-19,23-022,TOR,,IND,W (+25),0,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2
71,31,2017-03-21,23-024,TOR,,CHI,W (+2),0,19:31,2,3,0.667,0,1,0,2,2,1,0,3,3,1,2,0,2,2,6,5.5,16
72,32,2017-03-23,23-026,TOR,@,MIA,W (+17),0,5:15,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,6
73,,2017-03-25,23-028,TOR,@,DAL,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
74,33,2017-03-27,23-030,TOR,,ORL,W (+19),0,1:53,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,0.9,1
75,,2017-03-29,23-032,TOR,,CHO,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
76,,2017-03-31,23-034,TOR,,IND,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
77,34,2017-04-02,23-036,TOR,,PHI,W (+8),0,12:00,3,6,0.5,1,2,0.5,0,0,,0,1,1,0,1,0,1,2,7,3.5,-2
78,35,2017-04-04,23-038,TOR,@,IND,L (-18),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
79,,2017-04-05,23-039,TOR,@,DET,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
80,,2017-04-07,23-041,TOR,,MIA,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
81,36,2017-04-09,23-043,TOR,@,NYK,W (+13),0,1:18,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
82,37,2017-04-12,23-046,TOR,@,CLE,W (+15),0,20:37,2,7,0.286,0,1,0,1,2,0.5,0,4,4,6,0,0,0,3,5,4.7,
1,1,2017-04-15,23-049,TOR,,MIL,L (-14),0,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,4
2,,2017-04-18,23-052,TOR,,MIL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,2,2017-04-20,23-054,TOR,@,MIL,L (-27),0,6:16,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,3
4,,2017-04-22,23-056,TOR,@,MIL,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,3,2017-04-24,23-058,TOR,,MIL,W (+25),0,2:34,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,0,3,3.4,2
6,,2017-04-27,23-061,TOR,@,MIL,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
7,4,2017-05-01,23-065,TOR,@,CLE,L (-11),0,3:18,3,3,1,0,0,,0,0,,0,0,0,0,1,0,0,0,6,6.1,9
8,5,2017-05-03,23-067,TOR,@,CLE,L (-22),0,1:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,4
9,6,2017-05-05,23-069,TOR,,CLE,L (-21),0,5:47,1,2,0.5,0,1,0,0,0,,0,0,0,1,0,0,0,0,2,1.7,-2
10,7,2017-05-07,23-071,TOR,,CLE,L (-7),0,7:55,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,1,2,3,0.9,-
