Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
80,73,2017-04-07,27-243,TOR,,MIA,W (+2),1,37:49:00,14,32,0.438,0,1,0,10,11,0.909,1,5,6,2,1,1,6,1,38,19.7,0
81,74,2017-04-09,27-245,TOR,@,NYK,W (+13),1,29:21:00,11,15,0.733,0,0,,13,15,0.867,0,2,2,0,0,0,2,2,35,25.9,8
82,,2017-04-12,27-248,TOR,@,CLE,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
1,1,2017-04-15,27-251,TOR,,MIL,L (-14),1,38:49:00,7,21,0.333,0,2,0,13,14,0.929,0,8,8,1,0,0,1,3,27,15.6,-16
2,2,2017-04-18,27-254,TOR,,MIL,W (+6),1,37:37:00,9,18,0.5,0,1,0,5,6,0.833,0,7,7,3,0,0,2,2,23,15,-1
3,3,2017-04-20,27-256,TOR,@,MIL,L (-27),1,30:44:00,0,8,0,0,2,0,8,8,1,0,2,2,0,0,0,3,2,8,-0.8,-23
4,4,2017-04-22,27-258,TOR,@,MIL,W (+11),1,39:52:00,12,22,0.545,0,1,0,9,9,1,0,9,9,5,4,0,4,2,33,27.8,15
5,5,2017-04-24,27-260,TOR,,MIL,W (+25),1,33:24:00,7,14,0.5,1,3,0.333,3,4,0.75,1,2,3,6,1,0,4,3,18,11.9,18
6,6,2017-04-27,27-263,TOR,@,MIL,W (+3),1,40:22:00,12,24,0.5,0,3,0,8,9,0.889,1,3,4,3,5,0,3,2,32,24.5,5
7,7,2017-05-01,27-267,TOR,@,CLE,L (-11),1,34:56:00,7,16,0.438,0,1,0,5,5,1,0,7,7,2,1,0,4,4,19,9.5,-32
8,8,2017-05-03,27-269,TOR,@,CLE,L (-22),1,31:08:00,2,11,0.182,0,0,,1,3,0.333,1,2,3,3,0,0,0,1,5,0.3,-21
9,9,2017-05-05,27-271,TOR,,CLE,L (-21),1,40:24:00,12,23,0.522,0,0,,13,13,1,0,2,2,3,3,0,0,3,37,30.2,-12
10,10,2017-05-07,27-273,TOR,,CLE,L (-7),1,45:54:00,8,18,0.444,0,2,0,6,9,0.667,1,3,4,8,0,0,4,4,22,13,-1
